PARK,PLOT,PLOT,SUBPLOT,PLECON,NAVSQU,PLAFIG,EPIDEN,GILCAP,COLLIN,CLAPUR,COLLOM,LACSER,SHEARV,GALAPA,LATHVIC,ERILAN,DAUCAR,APOAND,LUPBIC,LEUVUL,TRIFOLIUM,MYODIS,CERGLO,GERDIS,BROSTE,CYNECH,VULBRO,UNK,HYPPER,CIRARV,VERARV
SEM,DIVERSE,4,E4,0,2,0,3,1,2,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,4,A5,0,2,0,2,1,0,2,1,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,4,B5,0,0,0,2,1,0,2,0,0,4,7,3,0,0,2,0,0,0,1,0,0,0,0,0,,,,
SEM,DIVERSE,4,C5,0,4,0,9,5,0,4,5,0,10,5,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,4,D5,1,7,3,8,5,5,1,2,0,21,2,7,0,0,1,0,0,1,0,0,1,0,0,0,,,,
SEM,DIVERSE,4,E5,0,2,0,1,1,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,
SEM,DIVERSE,5,A1,0,5,0,1,3,1,4,12,0,3,8,3,0,0,3,0,0,2,0,0,0,1,2,,,,,
SEM,DIVERSE,5,B1,0,16,1,2,1,0,2,9,0,4,4,3,0,0,0,0,0,1,0,1,1,0,1,,,,,
SEM,DIVERSE,5,C1,0,27,0,3,0,0,1,1,0,12,5,1,0,2,2,0,0,0,0,0,0,0,0,,,,,
SEM,DIVERSE,5,D1,0,12,0,7,0,0,1,6,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,
SEM,DIVERSE,5,E1,0,18,0,1,2,0,0,2,0,0,1,0,0,3,0,0,2,0,0,0,0,0,1,,,,,
SEM,DIVERSE,5,A2,0,2,0,0,0,0,6,3,0,3,9,2,0,2,0,0,0,4,0,0,0,0,0,,,,,
SEM,DIVERSE,5,B2,0,7,0,0,1,0,2,0,0,0,9,0,1,0,0,0,0,1,0,1,0,0,0,,,,,
SEM,DIVERSE,5,C2,0,11,0,2,1,0,1,3,1,2,9,1,0,1,0,0,0,0,2,0,2,0,0,,,,,
SEM,DIVERSE,5,D2,0,17,0,4,3,0,0,5,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,,,,,
SEM,DIVERSE,5,E2,0,28,0,3,1,1,3,3,0,2,1,1,0,3,0,0,1,0,1,0,1,0,0,,,,,
SEM,DIVERSE,5,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEM,DIVERSE,5,B3,0,9,0,1,0,0,2,3,0,2,10,2,0,0,1,0,0,0,1,2,0,0,0,,,,,
SEM,DIVERSE,5,C3,1,27,0,6,1,0,8,3,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
SEM,DIVERSE,5,D3,0,16,0,7,5,1,11,3,0,1,2,0,0,3,1,0,0,0,0,1,0,0,0,,,,,
SEM,DIVERSE,5,E3,0,6,0,3,1,0,9,3,0,4,1,2,0,4,0,0,0,0,0,0,0,0,0,1,,,,
SEM,DIVERSE,5,A4,0,0,0,1,0,0,0,4,0,2,10,3,0,0,1,0,0,0,0,0,0,0,1,0,,,,
SEM,DIVERSE,5,B4,0,5,0,1,0,0,7,1,0,0,9,4,0,0,0,0,1,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,5,C4,0,10,0,5,4,0,4,3,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,5,D4,0,19,0,10,5,4,8,6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,5,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEM,DIVERSE,5,A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEM,DIVERSE,5,B5,0,8,0,1,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SEM,DIVERSE,5,C5,0,14,0,4,2,0,2,0,0,0,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,
SEM,DIVERSE,5,D5,0,11,0,16,2,0,4,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
SEM,DIVERSE,5,E5,0,5,0,14,0,0,1,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
SEM,DIVERSE,6,A1,0,4,0,1,1,0,2,4,0,8,7,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
SEM,DIVERSE,6,B1,0,4,0,0,1,0,3,1,0,12,8,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,
SEM,DIVERSE,6,C1,0,25,0,7,1,2,5,10,0,8,5,3,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,
SEM,DIVERSE,6,D1,0,19,0,9,3,3,4,8,0,13,4,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0,1,
SEM,DIVERSE,6,E1,0,14,0,6,4,1,2,2,2,9,4,2,0,1,0,0,0,2,1,1,1,0,0,0,0,0,1,
SEM,DIVERSE,6,A2,0,3,0,1,2,0,0,6,0,0,6,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
SEM,DIVERSE,6,B2,0,23,0,4,2,0,2,8,0,8,7,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,
SEM,DIVERSE,6,C2,0,19,0,8,3,1,6,11,0,10,5,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,
SEM,DIVERSE,6,D2,0,40,0,4,3,1,2,5,0,5,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
SEM,DIVERSE,6,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEM,DIVERSE,6,A3,0,8,0,2,0,1,0,9,0,7,6,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,
SEM,DIVERSE,6,B3,0,17,2,1,5,2,3,1,0,6,8,4,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,
SEM,DIVERSE,6,C3,0,10,1,3,4,2,4,6,0,3,8,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,
SEM,DIVERSE,6,D3,0,28,0,8,9,1,0,9,0,4,4,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,
SEM,DIVERSE,6,E3,0,13,0,6,4,0,2,2,0,2,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,
SEM,DIVERSE,6,A4,0,15,0,2,2,3,3,1,0,0,4,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
SEM,DIVERSE,6,B4,0,32,0,3,0,1,1,1,0,6,5,4,0,1,1,0,0,0,2,2,1,0,0,1,0,0,0,0
SEM,DIVERSE,6,C4,0,19,0,4,4,3,1,2,0,6,8,3,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
SEM,DIVERSE,6,D4,0,53,0,5,5,3,2,8,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,6,E4,0,15,0,9,2,3,2,6,0,5,1,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,6,A5,0,18,0,2,4,2,0,6,1,6,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,6,B5,0,12,0,3,1,2,1,1,1,6,3,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0
SEM,DIVERSE,6,C5,0,22,1,13,2,5,3,2,0,5,1,1,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0
SEM,DIVERSE,6,D5,0,34,0,13,5,2,1,6,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,6,E5,0,26,0,9,3,1,1,10,0,5,1,0,0,6,1,0,0,0,4,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,7,A1,0,13,2,7,2,2,10,3,0,3,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
SEM,DIVERSE,7,B1,3,8,1,11,8,0,7,9,0,5,3,3,0,0,2,0,0,0,3,0,1,0,0,1,0,0,0,0
SEM,DIVERSE,7,C1,0,3,0,1,3,2,5,6,0,8,5,2,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0
SEM,DIVERSE,7,D1,0,9,0,1,4,0,5,3,0,5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,7,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SEM,DIVERSE,7,A2,0,13,5,6,3,1,8,10,0,3,5,3,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0
SEM,DIVERSE,7,B2,0,4,3,3,1,0,13,2,0,8,7,1,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0
SEM,DIVERSE,7,C2,0,4,0,6,3,0,5,2,0,5,7,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
SEM,DIVERSE,7,D2,0,5,2,3,4,2,2,6,0,6,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
SEM,DIVERSE,7,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
SEM,DIVERSE,7,A3,0,8,1,2,4,1,3,0,0,4,4,3,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,7,B3,0,10,0,4,3,1,8,3,0,8,8,1,0,0,1,0,0,2,1,3,0,1,0,0,0,0,0,0
SEM,DIVERSE,7,C3,0,8,0,0,0,0,3,0,0,7,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
SEM,DIVERSE,7,D3,0,13,0,2,4,0,6,8,0,10,2,3,1,0,1,0,0,1,5,0,0,1,0,0,0,1,0,0
SEM,DIVERSE,7,E3,0,4,0,0,4,2,3,3,1,15,4,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
SEM,DIVERSE,7,A4,0,3,0,1,1,1,1,0,1,4,5,2,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,7,B4,0,1,1,0,0,1,3,3,0,5,7,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,7,C4,0,1,0,2,1,1,5,2,0,5,5,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2
SEM,DIVERSE,7,D4,0,5,0,5,3,0,6,6,0,8,5,4,1,1,0,0,0,0,6,3,0,0,0,0,0,0,0,0
SEM,DIVERSE,7,E4,0,6,1,2,0,0,1,1,0,18,5,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
SEM,DIVERSE,7,A5,0,5,0,0,1,0,2,1,0,12,7,5,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,7,B5,0,7,0,0,2,0,3,5,0,6,6,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,7,C5,0,7,0,1,3,1,9,2,0,10,7,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,7,D5,0,33,0,10,5,1,6,4,0,12,4,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1
SEM,DIVERSE,7,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEM,DIVERSE,8,A1,0,2,0,2,4,0,6,1,0,6,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
SEM,DIVERSE,8,B1,0,0,0,0,2,0,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,8,C1,,,,,,,,,,,,,0,,,0,0,0,,,,,,,,,,
SEM,DIVERSE,8,D1,0,2,0,7,0,0,2,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,8,E1,0,0,0,3,0,0,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
SEM,DIVERSE,8,A2,0,7,0,1,1,0,3,2,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SEM,DIVERSE,8,B2,0,2,0,3,2,0,6,1,0,16,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,8,C2,0,2,0,4,1,0,5,2,0,0,4,5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
SEM,DIVERSE,8,D2,0,2,0,8,0,0,3,4,0,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,8,E2,0,1,0,2,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,8,A3,0,6,0,5,0,0,1,5,2,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,8,B3,0,4,0,4,2,0,5,5,0,8,4,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
SEM,DIVERSE,8,C3,0,4,0,2,3,1,5,1,0,4,2,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,8,D3,0,6,0,0,2,0,4,0,0,4,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
SEM,DIVERSE,8,E3,0,0,0,1,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SEM,DIVERSE,8,A4,0,0,0,0,1,0,3,1,0,15,3,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
SEM,DIVERSE,8,B4,0,10,0,1,1,1,4,2,0,7,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
SEM,DIVERSE,8,C4,0,9,0,1,3,1,10,0,0,0,5,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0
SEM,DIVERSE,8,D4,0,3,0,6,5,2,6,4,0,5,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SEM,DIVERSE,8,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEM,DIVERSE,8,A5,0,7,0,0,0,0,4,0,0,7,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
