PARK,PLOT,PLOT,SUBPLOT,PLECON,NAVSQU,EPIDEN,PLAFIG,GILCAP,COLLOM,CLAPUR,COLLIN,BROHOR,ERILAN,CRESET,CYNECH,DAUCAR,GERDIS,LEUVUL,Madia,SHEARV,AIRCAR,ARRELA,BROELE,BRODIA,BROSTE,GALAPA,HOLLAN,LINBIE,MYODIS,PLALAN,RUAR,TORARV,VULBRO,agrostis spp,APOAND,CAMLEI,CASTEN,CERGLO,Cirsium,DACGLO,DIAARM,HYPPER,LACSER,LATVES,RUMCRI,SONASP,TAECAP,TRIDUB,Trifolium,Vicia,CARTUM,VEROFF,BROSIT,EPIBRA,CARHIR,NAVINT,CYTSCO,ACMAME,DICCON,WYEANG,NOTES
WIR,DIVERSE,2,A2,0,0,0,0,0,0,2,0,3,,2,,2,3,,,,1,,,,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,1,,6,,,,,,,,,
WIR,DIVERSE,2,B2,0,0,0,0,0,0,0,0,2,,6,,5,7,,,<1,2,,,,1,<1,,,1,,,,,,,,,,,,,,,,,,,,,1,,8,,,,,,,,,
WIR,DIVERSE,2,C2,5,0,0,0,1,0,0,0,1,,3,,7,4,,,<1,1,,,,1,<1,,,,,,,,,,,,,,,,1,,,,,,,,,,6,,,,,,,,,
WIR,DIVERSE,2,D2,5,0,1,0,1,0,0,0,<1,,8,,,2,,,<1,1,,,,<1,<1,,,2,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,
WIR,DIVERSE,2,E2,7,0,2,0,0,0,0,0,1,,5,,2,3,1,,<1,2,,,,1,<1,,,,,,,,,,,,3,,,,,,,,,,,,,<1,20,,,,,,,,,
WIR,DIVERSE,2,A3,0,0,0,0,0,1,1,0,3,,2,,6,5,,,<1,<1,,,,<1,<1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,2,B3,0,0,0,0,0,0,2,0,3,,5,,3,1,,,,<1,,,,1,<1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
WIR,DIVERSE,2,C3,4,0,0,0,0,0,3,0,2,,3,,,,,,,1,,,,1,<1,,,,,,,,,,,,2,,,,,,,,,,,,,4,7,,,,,,,,,
WIR,DIVERSE,2,D3,12,0,1,0,0,1,1,0,3,3,3,,4,5,,,,1,,,,1,<1,,,2,,,,,<1,,,,1,,,,,,,,,,,,,2,15,,,,,,,,,
WIR,DIVERSE,2,E3,6,0,2,0,0,0,0,0,1,,6,,3,6,,,<1,2,,,,<1,<1,,,,,,,,,,,,2,,,,,,,,,,,,1,<1,12,,,,,,,,,
WIR,DIVERSE,2,A4,4,0,3,0,0,0,0,0,4,,,,1,,,,,1,,,,1,,,,,,,,<1,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,
WIR,DIVERSE,2,B4,0,0,0,0,0,0,3,0,2,,6,,,1,,,,1,,,,<1,<1,,,,,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,2,C4,0,0,1,0,0,0,4,0,2,,3,,,1,,,,2,,,,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,<1,3,,,,,,,,,
WIR,DIVERSE,2,D4,4,0,2,0,0,0,14,0,<1,,11,,2,2,,,,1,,,,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,2,,7,,,,,,,,,
WIR,DIVERSE,2,E4,4,0,0,0,1,0,1,0,1,,3,,1,3,,,,1,,,,,<1,,,,,,,,,,,,1,,,,,,,,,,,,,5,7,,,,,,,,,
WIR,DIVERSE,2,A5,0,0,0,0,0,0,3,0,4,,2,,3,,,,,1,,,,<1,,,,,,,,,,,,,1,,,,,,,,,,,,,,9,,,1,,,,,,
WIR,DIVERSE,2,B5,0,0,0,0,0,1,3,0,2,,,,,,,,,<1,,,,1,<1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
WIR,DIVERSE,2,C5,2,0,0,0,0,0,2,0,2,,5,,,2,,,,1,,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,2,D5,0,0,1,0,0,1,2,0,1,,16,,2,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,22,,,,,,,,,
WIR,DIVERSE,2,E5,0,0,1,0,0,0,1,0,3,,5,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,32,,,1,,,,,,
WIR,DIVERSE,3,A1,0,0,0,0,0,0,0,0,3,,3,,3,1,,,,3,,,,2,<1,,,,,,3,,,,,,1,,,,,,,,,,,,1,,6,,,,,,,,,
WIR,DIVERSE,3,B1,0,0,1,0,0,0,0,0,3,,3,,1,2,,,<1,2,,,,<1,,,,,,,2,,,,,,,,,,,,,,,,,,1,,11,,,,,,,,,
WIR,DIVERSE,3,C1,0,0,0,0,0,0,0,0,1,,2,,3,,,,<1,<1,,,,<1,<1,,,,,,1,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,3,D1,1,0,0,0,1,0,2,0,2,,5,,3,1,,,<1,1,,,,<1,<1,,,,,,1,<1,,,,,,,,,,,,,,,,,,,16,,,,,,,,,
WIR,DIVERSE,3,E1,0,0,0,0,0,0,0,0,3,,5,,3,,,,<1,4,,,,<1,<1,,,,,,1,,1,,,,,,,,,,,,,,,,,,8,,,,,,,,,
WIR,DIVERSE,3,A2,0,0,0,0,0,0,0,2,2,,4,,2,2,,,<1,3,,,,<1,<1,,,,,,,,<1,,,,,,,,,,,,,,,,2,,11,,,,,,,,,
WIR,DIVERSE,3,B2,0,0,1,0,0,0,0,0,3,,6,1,6,,,,<1,4,,,,<1,<1,,,,,,,,<1,,,,,,,,,,,,,,,,1,,7,,,,,,,,,
WIR,DIVERSE,3,C2,1,0,0,0,0,0,0,0,2,,3,,3,2,,,,5,,,,<1,,,,,,,1,<1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
WIR,DIVERSE,3,D2,1,0,1,0,0,0,6,0,1,,6,,3,,,,,1,,,,<1,,,,,,,,,,,,,1,,,,,,,,,,,,,,9,,,,,,,,,
WIR,DIVERSE,3,E2,0,0,0,0,0,0,0,0,3,,3,,,2,,,<1,2,,,,1,,,,,,,,<1,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
WIR,DIVERSE,3,A3,0,0,1,0,0,0,0,0,2,,4,,1,1,,,<1,2,,,,<1,<1,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
WIR,DIVERSE,3,B3,3,0,0,0,0,1,0,0,3,,4,,,,,,,1,,,,<1,<1,,,,,,,,,,,,1,,,,,,,,1,,,,2,,9,,,,,,,,,
WIR,DIVERSE,3,C3,0,0,0,0,0,1,3,0,4,,4,,1,3,,,<1,5,,,,1,<1,,,1,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,
WIR,DIVERSE,3,D3,0,0,0,0,1,0,1,0,1,,7,,3,,,,,3,,,,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
WIR,DIVERSE,3,E3,0,0,1,1,0,0,0,0,2,,6,,3,,,,<1,6,,,,<1,<1,,,,,,2,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
WIR,DIVERSE,3,A4,0,0,0,0,0,0,0,0,4,,2,,3,,,,<1,1,,,,1,<1,,,,,,,,,,,,8,,,,,,,,,,,,,,10,,,,,,,,,
WIR,DIVERSE,3,B4,0,0,0,0,0,0,0,0,5,,,,2,2,,,<1,7,,,,<1,,,,,,,,,,,,,12,,,,,,,,,,,,1,,1,,,,,,,,,
WIR,DIVERSE,3,C4,0,0,0,0,0,0,1,0,3,,6,,9,,,,,6,,,,<1,<1,,,,,,1,,<1,,,,3,,,,,,,,,,,,,,17,,,,,,,,,
WIR,DIVERSE,3,D4,0,0,0,0,0,1,0,0,3,,6,,3,1,,,<1,9,,,,<1,<1,,,,,,,,<1,,,,1,,,,,,,,,,,,,,20,,,,,,,,,
WIR,DIVERSE,3,E4,0,0,0,0,0,2,0,0,7,,7,4,2,1,,,,8,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,23,,,,,,,,,
WIR,DIVERSE,3,A5,2,0,0,0,0,0,0,0,3,,,,6,,,,,2,,,,1,,,,1,,,,,,,,,3,,,,,,,,,,,,3,,10,,,,,,,,,
WIR,DIVERSE,3,B5,0,0,0,0,0,0,0,0,1,,1,,2,3,,,<1,7,,,,1,<1,,,,,,,,<1,,,,3,,,,,,,,,,,,2,,6,,,,,,,,,
WIR,DIVERSE,3,C5,1,0,1,0,0,0,0,0,5,,1,,5,2,1,,,9,,,,,<1,,,1,,,,,,,,,3,,,,,,,,,,,,2,,13,,,,,,,,,
WIR,DIVERSE,3,D5,0,0,0,0,0,1,0,0,4,,12,,7,,,,<1,8,,,,,<1,,,1,,,1,,<1,,,,1,,,,,,,,,,,,2,,14,,,,,,,,,
WIR,DIVERSE,3,E5,0,0,1,0,0,0,0,0,2,,,,6,3,1,,,1,,,,<1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,
WIR,DIVERSE,4,A1,0,0,0,0,0,0,0,0,1,2,3,,,5,,,1,7,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,4,B1,0,0,0,0,0,0,0,0,<1,,2,,2,6,,,<1,5,,,,2,,,,,,,,1,,,,,1,,,,,,,,,,,,,,3,,,,,,1,,,
WIR,DIVERSE,4,C1,0,0,0,0,0,0,0,0,<1,,4,,4,4,,,<1,8,,,,3,,,,,,,,<1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
WIR,DIVERSE,4,D1,0,0,0,0,0,1,0,0,2,,,,4,,,,1,7,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
WIR,DIVERSE,4,E1,0,0,0,0,0,0,0,0,2,,3,,3,,,,<1,8,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
WIR,DIVERSE,4,A2,1,0,0,0,0,0,0,0,3,,4,,,4,,,,6,,,,4,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,
WIR,DIVERSE,4,B2,0,0,0,0,0,0,0,0,0,,4,,1,5,,,,7,,,,4,<1,,,,,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,4,C2,0,0,0,0,0,0,0,0,0,,,,1,2,,,1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lots of bare ground
WIR,DIVERSE,4,D2,1,0,0,0,0,1,1,0,<1,,3,,1,,,,<1,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,4,E2,0,0,0,0,0,0,0,0,1,,1,,2,,,,,7,,,,1,<1,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,
WIR,DIVERSE,4,A3,1,0,2,0,0,0,0,0,<1,,3,,,3,,,<1,4,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
WIR,DIVERSE,4,B3,1,0,0,0,0,0,0,0,2,,6,,3,6,,,1,7,,,,1,<1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,4,C3,0,0,0,0,0,0,0,1,<1,,4,,,4,,,<1,4,,,,<1,<1,,,,,,,,,,,,,,,,,,,,1,,,,,,5,,,,,,,,,
WIR,DIVERSE,4,D3,0,0,0,1,1,0,0,0,2,,3,,3,,,,1,3,,,,<1,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
WIR,DIVERSE,4,E3,0,0,0,0,0,2,0,0,1,,2,,,2,,,1,6,,,,2,<1,,,,,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,bare ground
WIR,DIVERSE,4,A4,0,0,1,0,0,0,0,0,2,,2,,3,,,,<1,2,,,,1,<1,,,2,,,,<1,,,,,1,,,,,,,,,,,,,,8,,,,,,,,,
WIR,DIVERSE,4,B4,0,0,0,0,0,0,2,0,2,,2,,5,1,,,<1,1,,,,<1,<1,,,1,,,,,<1,,,,,,,,,,,,,,,,,,4,,,,,,,,,
WIR,DIVERSE,4,C4,4,0,0,0,2,0,2,0,1,,10,,5,1,,,,3,,,,1,<1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
WIR,DIVERSE,4,D4,2,0,0,0,1,0,0,0,<1,,10,,,,,,<1,4,,,,1,,,,,,,,,<1,,,,1,,,,,,,,,,,,,,10,,,,,,,,,
WIR,DIVERSE,4,E4,0,0,0,0,0,0,0,0,1,,4,,2,2,,,<1,9,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
WIR,DIVERSE,4,A5,0,0,1,0,0,0,2,0,2,,2,,1,1,,,,3,,,,<1,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
WIR,DIVERSE,4,B5,0,0,0,0,0,0,3,0,2,,,,2,1,,,<1,7,,,,<1,<1,,,,,,,,,,,,2,,,,,,,,,,,,1,,4,,,,,,,,,
WIR,DIVERSE,4,C5,4,0,0,0,0,0,0,0,3,,5,,4,1,,,<1,3,,,,<1,<1,,,,,,,,<1,,,,,,,,,,,,,,,,,,5,,,,,,,,,
WIR,DIVERSE,4,D5,2,0,0,0,0,0,0,0,1,,5,,4,,,,<1,6,,,,1,,,,,,,,,<1,,,,2,,,,,,,,,,,,2,,3,,,,,,,,,
WIR,DIVERSE,4,E5,0,0,0,0,0,0,0,0,1,,5,,3,,,,<1,5,,,,1,<1,,,,,,,,,,,,<1,,,,,,,,,,,,2,,,,,,,,,,,50% dirt
WIR,DIVERSE,5,A1,0,0,0,0,0,0,0,0,1,,4,,2,,,,,3,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
WIR,DIVERSE,5,B1,0,0,0,0,0,0,0,0,2,,3,4,,1,,,<1,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
WIR,DIVERSE,5,C1,0,0,0,0,0,0,0,0,1,,5,7,,,3,,,4,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,
WIR,DIVERSE,5,D1,0,0,0,0,0,0,0,1,1,,4,3,,3,6,,,6,,,,3,<1,,5,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
WIR,DIVERSE,5,E1,3,0,0,0,0,0,0,0,1,,4,3,,,,,<1,7,,,,1,<1,,7,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
WIR,DIVERSE,5,A2,0,0,0,0,0,0,0,0,3,,,,1,3,,,<1,5,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
WIR,DIVERSE,5,B2,0,0,0,0,0,0,0,0,2,,1,,,3,,,<1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,5,C2,0,0,0,0,0,0,0,0,2,,5,,,1,3,,,5,,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,
WIR,DIVERSE,5,D2,0,0,0,0,0,0,0,1,1,,3,,5,1,,,<1,4,,,,1,<1,,,,,,,,<1,,,,1,,,,,,,,,,,,,,5,,,,,,,,,
WIR,DIVERSE,5,E2,0,0,0,0,0,0,1,0,2,,1,,2,1,,,<1,4,,,,1,<1,,5,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
