PARK,PLOT,PLOT.NUM,SUBPLOT,SPECIES,REP,FFDATE,HEIGHT,DEATHDATE,NOTES,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,8,,,,h 6/2,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,9,,,,h 6/2,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,10,,,,h 6/2,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,11,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,12,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,13,,,6/24/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,14,6/20/2025,30.0,,herbivory,,,,,,,,,,,,,,,,
BR,ALONE,,,GILCAP,15,,,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,1,6/17/2025,30.0,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,2,6/17/2025,22.3,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,3,6/17/2025,35.3,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,4,6/17/2025,16.0,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,5,6/17/2025,20.5,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,6,6/17/2025,28.2,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,7,6/17/2025,14.7,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,8,6/20/2025,7.0,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,9,6/24/2025,12.1,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,10,6/17/2025,16.1,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,11,,,6/17/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,12,6/17/2025,14.0,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,13,6/20/2025,32.9,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,14,6/17/2025,13.4,,,,,,,,,,,,,,,,,,
BR,ALONE,,,NAVSQU,15,6/17/2025,16.8,,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,1,5/13/2025,3.0,,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,2,5/13/2025,7.1,,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,3,5/2/2025,9.5,,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,4,5/9/2025,9.9,6/17/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,5,5/13/2025,5.5,,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,6,5/13/2025,11.6,,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,7,5/9/2025,9.2,,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,8,5/13/2025,11.4,,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,9,5/6/2025,8.2,,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,10,5/30/2025,1.9,6/17/2025,h 5/9,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,11,5/13/2025,9.1,,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,12,5/6/2025,5.8,,pushed out of ground 6/2,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,13,5/13/2025,6.0,5/20/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,14,5/6/2025,12.5,,h 5/9,,,,,,,,,,,,,,,,
BR,ALONE,,,PLAFIG,15,4/29/2025,14.0,,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLECON,1,4/29/2025,7.1,5/13/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLECON,2,4/29/2025,9.2,5/9/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLECON,3,4/18/2025,7.8,5/27/2025,h 4/29,,,,,,,,,,,,,,,,
BR,ALONE,,,PLECON,4,5/2/2025,7.5,5/9/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLECON,5,5/16/2025,8.6,6/17/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLECON,6,5/2/2025,11.2,6/9/2025,H (4/15),,,,,,,,,,,,,,,,
BR,ALONE,,,PLECON,7,4/29/2025,10.0,5/13/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLECON,8,4/15/2025,5.8,5/9/2025,odd 5/2,,,,,,,,,,,,,,,,
BR,ALONE,,,PLECON,9,5/2/2025,7.6,5/9/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLECON,10,5/27/2025,8.8,,H (4/15),,,,,,,,,,,,,,,,
BR,ALONE,,,PLECON,11,5/6/2025,10.2,,H (4/15),,,,,,,,,,,,,,,,
BR,ALONE,,,PLECON,12,4/22/2025,7.5,5/16/2025,h 4/29,,,,,,,,,,,,,,,,
BR,ALONE,,,PLECON,13,,,5/13/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLECON,14,4/29/2025,10.9,5/9/2025,,,,,,,,,,,,,,,,,
BR,ALONE,,,PLECON,15,5/2/2025,4.0,,,,,,,,,,,,,,,,,,
BR,DIVERSE,12,,CLAPUR,1,,,,broken top,,,,,,,,,,,,,,,,
BR,DIVERSE,10,,CLAPUR,2,,,6/20/2025,,,,,,,,,,,,,,,,,
BR,DIVERSE,3,,CLAPUR,3,6/17/2025,7.1,,measured at fruit,,,,,,,,,,,,,,,,
BR,DIVERSE,11,,CLAPUR,4,6/17/2025,14.5,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,,CLAPUR,5,6/24/2025,6.4,,,,,,,,,,,,,,,,,,
BR,DIVERSE,13,,CLAPUR,6,6/17/2025,29.8,,,,,,,,,,,,,,,,,,
BR,DIVERSE,12,,CLAPUR,7,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,,CLAPUR,8,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,12,,CLAPUR,9,6/20/2025,18.1,,height at fruit,,,,,,,,,,,,,,,,
BR,DIVERSE,12,,CLAPUR,10,6/20/2025,14.3,,  height at fruit,,,,,,,,,,,,,,,,
BR,DIVERSE,1,,COLLIN,1,5/27/2025,12.6,,,,,,,,,,,,,,,,,,
BR,DIVERSE,1,,COLLIN,2,5/27/2025,8.7,,,,,,,,,,,,,,,,,,
BR,DIVERSE,1,,COLLIN,3,5/23/2025,15.3,,,,,,,,,,,,,,,,,,
BR,DIVERSE,3,,COLLIN,4,5/16/2025,10.5,,,,,,,,,,,,,,,,,,
BR,DIVERSE,11,,COLLIN,5,,,6/17/2025,,,,,,,,,,,,,,,,,
BR,DIVERSE,4,,COLLIN,6,,,6/17/2025,,,,,,,,,,,,,,,,,
BR,DIVERSE,10,,COLLIN,7,,,6/17/2025,odd and very small 5/30,,,,,,,,,,,,,,,,
